School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Rubicon Outdoor School,Thornton,Capital Works Fund,School upgrades,145.8209481,-37.295318
Rupanyup Kindergarten,Rupanyup,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,142.631613,-36.6324112
Rupert Street Uniting Early Learning,Collingwood,Building Blocks Inclusion Grant,Early childhood projects,144.9893283,-37.8040929
Rushworth P-12 College,Rushworth,Upgrade and Modernisation,School upgrades,145.0145846,-36.5841035
Rutherglen High School,Rutherglen,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,146.4512945,-36.0624324
Rye Primary School,Rye,Upgrade and Modernisation – playground | Inclusive Schools Fund,School upgrades,144.8235224,-38.3734486
Sacred Heart College (Yarrawonga),Yarrawonga,Non-Government Schools Capital Fund - 2021-22,Non-government grants,146.0088361,-36.0093951
Sacred Heart Girls' College,Hughesdale,Non-Government Schools Capital Fund,Non-government grants,145.0858683,-37.9016347
Sacred Heart School (Corryong),CORRYONG,Non-Government Schools Capital Fund - 2020-21,Non-government grants,147.8993587,-36.1983319
Sacred Heart School (Croydon),Croydon,Non-Government Schools Capital Fund,Non-government grants,145.2725677,-37.7977638
Sacred Heart School (Diamond Creek),Diamond Creek,Non-Government Schools Capital Fund - 2021-22,Non-government grants,145.158283,-37.671898
Sacred Heart School (Fitzroy),Fitzroy,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.9782592,-37.8022434
Sacred Heart School (Mildura),Mildura,Building Fund for Non-Government Schools - Catholic,Non-government grants,142.1519042,-34.18761569999999
Sacred Heart School (Sandringham),Sandringham,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.0084824,-37.951492
Sacred Heart School (St Albans),St Albans,Building Fund for Non-Government Schools - Catholic,Non-government grants,144.7996637,-37.7376537
Sacred Heart School (Tatura),Tatura,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.2247859,-36.4396416
Saint Ignatius College Geelong,Drysdale,Non-Government Schools Capital Fund - 2021-22 | Non-Government Schools Capital Fund,Non-government grants,144.5584171,-38.1893404
Saints Early Years Education (North Melbourne),North Melbourne,Building Blocks Partnership | Building Blocks Planning Grant,Early childhood projects,144.9485049,-37.8008004
Sale College,Sale,Schools Upgrade Fund | Planning,"School upgrades, Planning projects",147.0670837,-38.1094684
Sale Primary School,Sale,Permanent Modular School Buildings Program | Minor Capital Works Fund,School upgrades,147.0734902,-38.1082071
Sale and District Specialist School,Sale,Upgrade and Modernisation,School upgrades,147.0704905,-38.0815423
Salesian College Chadstone,CHADSTONE,Non-Government Schools Capital Fund,Non-government grants,145.1007636,-37.8827836
,,Building Fund for Non-Government Schools – Catholic Non-Government Schools Capital Fund - 2020-21 Non-Government Schools Capital Fund,Non-government grants,143.3906074,-36.9847807
Saltwater P-9 College,Point Cook,Upgrade and Modernisation – Building Space for More Students | New School - Stage 2 | New School,New schools,144.7698893,-37.9107509
San Remo Pre-School,San Remo,Building Blocks Planning Grant,Early childhood projects,145.3718242,-38.5244721
San Remo Primary School,San Remo,Upgrade and Modernisation | Inclusive Schools Fund – Round 8,School upgrades,145.3693449,-38.5233309
Sandringham College,Sandringham,Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation,School upgrades,145.0246262,-37.9569703
Sandringham East Primary School,Sandringham,Upgrade and Modernisation – Final Stage | Upgrade and Modernisation,School upgrades,145.0221775,-37.9565421
Sandringham Primary School,Sandringham,School Rebuild,School upgrades,145.0094746,-37.94718599999999
Santa Maria College,Northcote,Non-Government Schools Capital Fund,Non-government grants,145.0021077,-37.76984849999999
Sassafras Primary School,Sassafras,Minor Capital Works Fund,School upgrades,145.3542795,-37.8614059
School for Student Leadership,Dinner Plain,New School Campus – Haining Farm,School upgrades,147.2395831,-37.0225125
Scoresby Secondary College,Scoresby,Inclusive Schools Fund - Round 6 | Minor Capital Works Fund,School upgrades,145.2365137,-37.8883784
Sea Lake Kindergarten,Sea Lake,Early Learning Facility Upgrade,Early childhood projects,142.8529933,-35.5036804
Seabrook Primary School,Seabrook,Minor Capital Works Fund,School upgrades,144.7583868,-37.8792782
Seaford Child and Family Centre,Seaford,Building Blocks Partnership,Early childhood projects,145.1310544,-38.110582
Seaford North Primary School,Seaford,Upgrade and Modernisation – next stage | Upgrade and Modernisation,School upgrades,145.1335613,-38.0901178
Seaford Park Primary School,Seaford,Upgrade and Modernisation | School Pride and Sports Fund | Inclusive Schools Fund,School upgrades,145.1545493,-38.1045309
Seaford Primary School,Seaford,Capital Works Fund | Inclusive Schools Fund - Round 7 | Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1307685,-38.1041891
Seaholme Kindergarten,Seaholme,Building Blocks Capacity Grant - Modular Kindergarten,Early childhood projects,144.8441931,-37.8656762
Seaholme Primary School,Seaholme,Inclusive Schools Fund – Round 9,School upgrades,144.8403805,-37.864665
Seaspray Primary School,Seaspray,Inclusive Schools Fund - Round 7,School upgrades,147.1707888,-38.3563352
Seawinds Community Hub,Capel Sound,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,144.8853523,-38.3748671
Sebastopol Community Hub (interim name),Sebastopol,Building Blocks Partnership,Early childhood projects,143.8411016,-37.5986819
Sebastopol Primary School,Sebastopol,Minor Capital Works Fund,School upgrades,143.843685,-37.5963076
Sebastopol South Kindergarten,Sebastopol,Early Childhood Refurbishment and Minor Works,Early childhood projects,143.8383817,-37.6025449
Seedlings @ Whitehorse Kindergarten,Blackburn,Building Blocks Inclusion Grant,Early childhood projects,145.1670983,-37.8076217
Selby Primary School,Selby,Minor Capital Works Fund,School upgrades,145.3665137,-37.9112113
Select entry schools: additional provision for girls,,Planning,Planning projects,143.3906074,-36.9847807
Seville Primary School,Seville,Inclusive Schools Fund – Round 6,School upgrades,145.4642531,-37.7735414
Seville Primary School Kindergarten (interim name),Seville,Kindergarten on a School Site,Early childhood projects,145.4642531,-37.7735414
Seymour College,Seymour,Schools Upgrade Fund | Upgrade and Modernisation | Shared Facilities Fund | Planned Maintenance Program,School upgrades,145.1426595,-37.0318331
Shepparton Christian College Ltd,Shepparton,Non-Government Schools Capital Fund - 2021-22,Non-government grants,145.4175655,-36.3534296
Shepparton East Primary School,Shepparton East,Capital Works Fund | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.4793572,-36.4002339
Shepparton Education Plan,Shepparton,Education Plan,Planning projects,145.3993137,-36.3811027
Sherbourne Primary School,Briar Hill,Minor Capital Works Fund | School Pride and Sports Fund,School upgrades,145.1295013,-37.7082138
Sherbrooke Community School,Sassafras,Planning for an Upgrade and Modernisation | School Pride and Sports Fund | School Improvement Fund,"Planning projects, School upgrades",145.3487908,-37.8681788
Shine Bright Echuca East Kindergarten,Echuca,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.763128,-36.1345884
Shine Bright Echuca South Community Kindergarten,Echuca South,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.7532873,-36.1462263
Shine Bright Kunawaa Kindergarten (Kunawaa Preschool),Swan Hill,New Early Learning Facility,Early childhood projects,143.5432978,-35.346424
Shine Bright Marong Kindergarten,Marong,Building Blocks Improvement Grant,Early childhood projects,144.1355409,-36.734838
Shine Bright Neale Street North Kindergarten,Kennington,Building Blocks Inclusion Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,144.2943069,-36.7585426
Shine Bright Neangar Kindergarten,California Gully,Building Blocks Inclusion Grant,Early childhood projects,144.2533321,-36.7258896
Shine Bright Rochester Kindergarten,Rochester,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.6979628,-36.356824
Shine Bright Shamrock Park Kindergarten,Swan Hill,Building Blocks Improvement Grant - Upgrade,Early childhood projects,143.5452901,-35.3282768
Shine Bright Stanhope Kindergarten,Stanhope,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9845605,-36.4466004
Shine Bright Swan Hill North Kindergarten,Swan Hill,Building Blocks Improvement Grant,Early childhood projects,143.5461488,-35.3313818
Shine Bright Swan Hill South Kindergarten,Swan Hill,Building Blocks Improvement Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,143.548876,-35.3464298
Shine Bright Woorinen South Kindergarten,Woorinen South,Building Blocks Improvement Grant,Early childhood projects,143.4518526,-35.2907501
Sholem Aleichem Preschool Education Centre,ELSTERNWICK,Early Learning Facility Upgrade | Building Blocks Improvement Grant - Upgrade,Early childhood projects,145.001352,-37.882199
Sidrah Gardens School,Narre Warren North,Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.315942,-37.972564
Siena Catholic Primary School,Lucas,Non-Government Schools Capital Fund | Non-Government Schools Capital Fund - 2019-20,Non-government grants,143.780384,-37.5461316
Silvan Primary School,Silvan,Minor Capital Works Fund,School upgrades,145.4218975,-37.8240763
Silverton Primary School,Noble Park North,Minor Capital Works Fund – Round 2 | Upgrade and Modernisation,School upgrades,145.193031,-37.94883799999999
Simonds Catholic College,West Melbourne,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund – 2020-21,Non-government grants,144.9524152,-37.8057948
Simpson Primary School,Simpson,Minor Capital Works Fund,School upgrades,143.208055,-38.4985788
Skene Street School Stawell,Stawell,Upgrade and Modernisation,School upgrades,142.7839653,-37.0575987
Skipton Kindergarten,Skipton,Building Blocks Capacity Grant - Expansion,Early childhood projects,143.3681005,-37.6859369
Skye Children's Co-op,Macleod,Building Blocks Inclusion Grant,Early childhood projects,145.072719,-37.718468
Skye Primary School,Skye,Minor Capital Works Fund | Upgrade and Modernisation | School Pride and Sports Fund - Project 2 | School Pride and Sports Fund - Project 1,School upgrades,145.2005489,-38.1173722
Skye Primary School Kindergarten (interim name),Skye,Kindergarten on a School Site,Early childhood projects,145.2005489,-38.1173722
Somers Parade Parent Committee Inc,Altona,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,144.8097283,-37.8709535
Somers Primary School,Somers,Upgrade and Modernisation – Basketball Court Cover,School upgrades,145.1652845,-38.3924284
Somerville Primary School,Somerville,Upgrade and Modernisation – Basketball Court Cover | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.1791229,-38.2241439
Somerville Rise Primary School,Somerville,Inclusive Schools Fund - Round 6 | Minor Capital Works Fund,School upgrades,145.1680506,-38.2298913
Somerville Secondary College,Somerville,Minor Capital Works Fund - Round 2,School upgrades,145.1689326,-38.2273943
Sorrento Primary School,Sorrento,Capital Works Fund | Minor Capital Works Fund,School upgrades,144.7409738,-38.3417172
South Castlemaine Kindergarten,Castlemaine,Building Blocks Capacity Grant – Modular Kindergarten | Building Blocks Improvement Grant,Early childhood projects,144.2085973,-37.0768608
South Gippsland Specialist School,Leongatha,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.9572,-38.4782217
South Kingsville Preschool,South Kingsville,Building Blocks Improvement Grant – Play Space | Building Blocks Improvement Grant,Early childhood projects,144.8702509,-37.828833
South Melbourne Park Primary School,Albert Park,New School | Inclusive Schools Fund,"New schools, School upgrades",144.9626364,-37.8405472
South Melbourne Primary School,Southbank,Planning | Upgrade and Modernisation | New School,"Planning projects, School upgrades, New schools",144.9535531,-37.829164
South Mornington Preschool,Mornington South,Early Learning Facilities Upgrade,Early childhood projects,145.0342864,-38.2309989
South Oakleigh College,Oakleigh South,Capital Works Fund | Upgrade and Modernisation,School upgrades,145.0901884,-37.9222243
South Yarra Primary School,South Yarra,School Improvement Fund | Permanent Modular School Buildings Program,School upgrades,144.9854881,-37.8411548
Southern Autistic School,East Bentleigh,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation,School upgrades,145.0622631,-37.9271233
Southern Cross Kindergarten,Endeavour Hills,Kindergarten on a School Site,Early childhood projects,145.264498,-37.98834799999999
Southern Cross Primary School,Endeavour Hills,Schools Upgrade Fund | Inclusive Schools Fund – Round 8,,145.264498,-37.98834799999999
Southmoor Primary School,Moorabbin,Capital Works Fund | Minor Capital Works Fund | Permanent Modular School Buildings Program,,145.0566217,-37.9415844
Southwold Street Kindergarten,St Albans,Early Childhood Refurbishment and Minor Works | Building Blocks Inclusion Grant,Early childhood projects,144.810438,-37.746961
Sparkways Early Learning Showgrounds,Flemington,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,144.9155863,-37.78306329999999
Sparkways Early Learning Whittlesea,Whittlesea,Building Blocks Inclusion Grant,Early childhood projects,145.12264,-37.515221
Sparkways Richmond Multicultural Children's Centre,Richmond,Building Blocks Inclusion Grant,Early childhood projects,145.001471,-37.8173704
Specimen Hill Primary School,Golden Square,Minor Capital Works Fund – 2022–23 State Budget | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,144.2484588,-36.7615699
Spensley Street Primary School,Clifton Hill,Inclusive Schools Fund – Round 8 | Upgrade and Modernisation,School upgrades,145.003617,-37.786842
Spotswood Primary School,Spotswood,Upgrade and Modernisation | Minor Capital Works Fund - Round 2,School upgrades,144.8820827,-37.8306104
Spring Gully Kindergarten,Spring Gully,Early Learning Facility Upgrade,Early childhood projects,144.2856764,-36.7962516
Springhurst Primary School,Springhurst,Minor Capital Works Fund,School upgrades,146.4683751,-36.1847629
Springside West Secondary College,Fraser Rise,New School - Stage 2 | New School - Stage 1,New schools,144.7275397,-37.7154864
Springvale Park Special Developmental School,Springvale,Hydrotherapy Pool | Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,145.1555405,-37.9494515
Springvale Rise Primary School,Springvale,"Minor Capital Works Fund | Upgrade and Modernisation | School Improvement Fund, Planned Maintenance Program",School upgrades,145.1588828,-37.9399582
Springvalley Preschool,Springvale South,Building Blocks Inclusion Grant,Early childhood projects,145.1393346,-37.9644778
Ss Michael and John's Primary School,Horsham,Building Fund for Non-Government Schools – Catholic,Non-government grants,142.2044675,-36.7141887
St Agatha's School,Cranbourne,Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.2796067,-38.1115645
St Albans East Primary School,St Albans,Upgrade and Modernisation | Permanent Modular School Buildings Program | School Pride and Sports Fund,School upgrades,144.8112059,-37.7428242
St Albans Heights Primary School,St Albans,Upgrade and Modernisation | Inclusive Schools Fund – Round 7,School upgrades,144.8100996,-37.7487076
St Albans North Primary School,St Albans,Planning for an Upgrade and Modernisation | Permanent Modular School Buildings Program,"Planning projects, School upgrades",144.8017033,-37.7317166
St Albans Primary School,St Albans,Minor Capital Works Fund,School upgrades,144.7959889,-37.7387557
St Albans West Kindergarten,St Albans,Building Blocks Partnership,Early childhood projects,144.7855695,-37.7357138
St Aloysius College,North Melbourne,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.9427161,-37.7926185
St Ambrose's School,Woodend,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.5303943,-37.3577723
St Andrew's School,Werribee,Non-Government Schools Capital Fund,Non-government grants,144.6506814,-37.9016997
St Andrew's School (Clayton South),Clarinda,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.1071996,-37.935074
St Andrews Christian College,Wantirna South,Non-Government Schools Capital Fund,Non-government grants,145.2442976,-37.8739516
St Andrews Primary School,St Andrews,School Improvement Fund,School upgrades,145.2695191,-37.60223380000001
St Anne's College (Kialla),Kialla,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - 2020-21 | Non-Government Schools Capital Fund,Non-government grants,145.4012284,-36.4361142
St Anne's School (Seaford),Seaford,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund,Non-government grants,145.1424921,-38.1065553
St Anthony's Early Learning Centre,Noble Park,New Early Learning Facility,Early childhood projects,145.1733926,-37.9650097
St Anthony's School (Melton South),Melton South,Non-Government Schools Capital Fund | Non-Government Schools Capital Fund - 2019-20,Non-government grants,144.5779508,-37.6835831
St Anthony's School (Noble Park),Noble Park,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.1731264,-37.9722525
St Arnaud Primary School Kindergarten,St Arnaud,Building Blocks Capacity Grant – Modular Kindergarten | Building Blocks Planning Grant,Early childhood projects,143.2574336,-36.610587
St Arnaud Secondary College,St Arnaud,Upgrade and Modernisation,School upgrades,143.2505274,-36.6098374
St Augustine's College (Kyabram),Kyabram,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.0447191,-36.30839539999999
St Augustine's School (Wodonga),Wodonga,Non-Government Schools Capital Fund - 2022–23,Non-government grants,146.8889762,-36.1167778
St Augustine's School (Yarraville),Yarraville,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.8900021,-37.813773
St Bernadette's Catholic Primary School,The Basin,Non-Government Schools Capital Fund,Non-government grants,145.3112089,-37.8531862
St Bernadette's School (Ivanhoe),Ivanhoe,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.034808,-37.763134
St Bernard's College,Essendon,Non-Government Schools Capital Fund - 2021-22,Non-government grants,144.8846469,-37.74951069999999
St Bernard's School (Bacchus Marsh),Bacchus Marsh,Building Fund for Non-Government Schools - Catholic,Non-government grants,144.4358913,-37.6725225
St Brendan's School (Coragulac),Coragulac,Building Fund for Non-Government Schools – Catholic,Non-government grants,143.5180664,-38.270523
St Brendan's School (Lakes Entrance),Lakes Entrance,Non-Government Schools Capital Fund – 2019-20 | Non-Government Schools Capital Fund,Non-government grants,148.0119628,-37.8712844
St Brigid's Catholic Primary School (Gisborne),Gisborne,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.5884138,-37.4904052
St Brigid's College,Horsham,Building Fund for Non-Government Schools - Catholic,Non-government grants,142.2081756,-36.7173538
St Brigid's School,Mordialloc,Non-Government Schools Capital Fund,Non-government grants,145.0915463,-38.0084879
St Brigid's School (Officer),Officer,Non-Government Schools Capital Fund - 2021-22,Non-government grants,145.4052308,-38.0544527
St Catherine of Siena Catholic Primary School (Armstrong Creek),Armstrong Creek,Non-Government Schools Capital Fund,Non-government grants,144.367012,-38.2321945
St Catherine's School,Moorabbin,Non-Government Schools Capital Fund,Non-government grants,145.0527626,-37.9381287
St Clare's Children’s Hub (Truganina),Truganina,Building Blocks Partnership,Early childhood projects,144.7486991,-37.8248334
St Clare's Primary School,Officer,Non-Government Schools Capital Fund,Non-government grants,145.4322213,-38.061725
St Clare's School (Thomastown West),Thomastown West,Non-Government Schools Capital Fund - 2021-22,Non-government grants,144.9981056,-37.6776942
St Columba's College,Essendon,Non-Government Schools Capital Fund – 2021-22,Non-government grants,144.914864,-37.757038
St Damian's School,Bundoora,Non-Government Schools Capital Fund,Non-government grants,145.0575556,-37.6981326
St Dominic's School,Broadmeadows,Non-Government Schools Capital Fund,Non-government grants,144.9234425,-37.685462
St Elizabeth's School,Dandenong North,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.197914,-37.946275
St Fidelis' School,Moreland,Non-Government Schools Capital Fund,Non-government grants,144.9361462,-37.7489056
St Francis Catholic College – Cobblebank campus,Cobblebank,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund – New Campus,Non-government grants,144.6073911,-37.7176783
St Francis Catholic College – Melton campus,Melton,Non-Government Schools Capital Fund,Non-government grants,144.5503334,-37.6767413
St Francis Xavier College,Beaconsfield,Non-Government Schools Capital Fund,Non-government grants,145.3729006,-38.0522768
St Francis Xavier College (Berwick),Berwick,Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.3384674,-38.0706271
St Francis Xavier School (Ballarat East),Ballarat East,Non-Government Schools Capital Fund,Non-government grants,143.9034625,-37.5614441
St Francis Xavier School (Corio),Corio,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.3566919,-38.0727227
St Francis Xavier's School,Montmorency,Non-Government Schools Capital Fund,Non-government grants,145.1263583,-37.7159567
St Francis de Sales School,Oak Park,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.9210704,-37.7192324
St Francis of Assisi Catholic Primary School,Tarneit,Non-Government Schools Capital Fund,Non-government grants,144.6987142,-37.8477266
,,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - 2020-21 | Building Fund for Non-Government Schools – Catholic,Non-government grants,143.3906074,-36.9847807
St Francis of the Fields School,Strathfieldsaye,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.3612743,-36.8044871
St Francis' School,Nathalia,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.2079997,-36.0586056
St Georges Road Primary School Shepparton,Shepparton,Capital Works Fund | Inclusive Schools Fund - Round 9,School upgrades,145.405893,-36.3899093
St Helena Secondary College,Eltham North,Upgrade and Modernisation – Stage 3 | Upgrade and Modernisation – Stage 2 | Upgrade and Modernisation,School upgrades,145.1396268,-37.6870651
St Hellier Street Child Day Care,Heidelberg Heights,Building Blocks Inclusion Grant,Early childhood projects,145.0515426,-37.7494202
St Ita's School,Drouin,Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.8605804,-38.1316223
St Joachim's School,Carrum Downs,Non-Government Schools Capital Fund - 2021-22,Non-government grants,145.1787817,-38.1026569
St John Vianney's School (Parkdale),Parkdale,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.091221,-37.99035370000001
St John the Apostle Catholic Primary School,Tarneit,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund,Non-government grants,144.6644199,-37.8329472
,,Building Blocks Partnership,Early childhood projects,143.3906074,-36.9847807
St John the Baptist School,Ferntree Gully,Building Fund for Non-Government Schools - Catholic,Non-government grants,145.2953019,-37.8865858
"St John's Lutheran Kindergarten, Geelong",Newtown,Early Learning Facilities Upgrade,Early childhood projects,144.3609926,-38.1538226
St John's Regional College,Dandenong,Non-Government Schools Capital Fund,Non-government grants,145.2258519,-37.9902326
St John's School,Euroa,Non-Government Schools Capital Fund,Non-government grants,145.5722781,-36.7511676
St Joseph the Worker School,Reservoir North,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.9923303,-37.70193769999999
St Joseph's College (Echuca),Echuca,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.7436136,-36.1181972
St Joseph's Primary School,Boronia,Non-Government Schools Capital Fund | Building Fund for Non-Government Schools - Catholic,Non-government grants,145.2755958,-37.8625908
St Joseph's School (Beechworth),Beechworth,Non-Government Schools Capital Fund - 2022–23,Non-government grants,146.6835849,-36.3602156
St Joseph's School (Benalla),Benalla,Non-Government Schools Capital Fund - 2020-21 | Non-Government Schools Capital Fund,Non-government grants,145.9741017,-36.5536908
St Joseph's School (Chelsea),Chelsea,Non-Government Schools Capital Fund,Non-government grants,145.1184657,-38.0555697
St Joseph's School (Chiltern),Chiltern,Non-Government Schools Capital Fund - 2020-21,Non-government grants,146.607143,-36.1457286
St Joseph's School (Hopetoun),Hopetoun,Building Fund for Non-Government Schools – Catholic,Non-government grants,142.3624784,-35.7241058
St Joseph's School (Rochester),Rochester,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.7031164,-36.360111
St Joseph's School (Sorrento),Sorrento,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.7420003,-38.3402776
St Joseph's School (Warrnambool),Warrnambool,Building Fund for Non-Government Schools – Catholic,Non-government grants,142.485922,-38.3723333
St Joseph's – Geelong campus,Grovedale,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.3312048,-38.1510801
St Josephine Bakhita Catholic Primary School,Clyde North,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund – 2021-22,Non-government grants,145.3654318,-38.1109524
St Jude the Apostle School,Scoresby,Building Fund for Non-Government Schools - Catholic,Non-government grants,145.2258506,-37.8892412
St Jude's School,Langwarrin,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.19181,-38.155037
St Kilda & Balaclava Kindergarten,Balaclava,Building Blocks Improvement Grant,Early childhood projects,144.9935481,-37.866711
St Kilda Park Primary School,St Kilda,Inclusive Schools Fund,School upgrades,144.9775141,-37.8578927
St Kilda Primary School,St Kilda,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.9890106,-37.8701795
St Kilian's School,Bendigo,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.2846637,-36.7539146
St Lawrence of Brindisi Catholic Primary School,Weir Views,Non-Government Schools Capital Fund - 2021-22 | Building Fund for Non-Government Schools - Catholic,Non-government grants,144.5719176,-37.7332207
St Lawrence of Brindisi Children's Hub (Weir Views),Weir Views,Building Blocks Partnership,Early childhood projects,144.5719176,-37.7332207
St Leonards Primary School,St Leonards,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,144.714671,-38.1714315
St Linus Kindergarten,Coburg North,Building Blocks Improvement Grant | Building Blocks Inclusion Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9589888,-37.7217515
St Louis de Montfort's School,Aspendale,Non-Government Schools Capital Fund,Non-government grants,145.1036017,-38.0177654
St Luke's Catholic Primary School,Shepparton North,Non-Government Schools Capital Fund,Non-government grants,145.4098369,-36.3254766
St Lukes Highton Kindergarten,Highton,Building Blocks Capacity Building Grant - Expansion,Early childhood projects,144.3108582,-38.1691796
St Margaret Mary's School,Brunswick North,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.967997,-37.758761
St Margaret's Primary School,Maribyrnong,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund – 2021–22,Non-government grants,144.8916467,-37.7667899
St Marianne Cope Children’s Hub,Mount Atkinson,Building Blocks Partnership,Early childhood projects,144.7042216,-37.7504491
St Marianne Cope School,Truganina,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.7107421,-37.8401888
St Martin of Tours School,Rosanna,Non-Government Schools Capital Fund,Non-government grants,145.0766072,-37.7353227
St Mary MacKillop Catholic Primary School (Bannockburn),Bannockburn,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - 2019-20 | Non-Government Schools Capital Fund,Non-government grants,144.1705146,-38.0466331
St Mary MacKillop College,Swan Hill,Building Fund for Non-Government Schools – Catholic,Non-government grants,143.5567019,-35.3420239
St Mary of the Cross Catholic Primary School Point Cook,Point Cook,Non-Government Schools Capital Fund,Non-government grants,144.7657362,-37.9089219
St Mary of the Cross MacKillop Catholic Parish Primary School,Epping North,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund,Non-government grants,145.0125558,-37.626181
St Mary's College,Seymour,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund,Non-government grants,145.1413879,-37.0195274
St Mary's Early Learning Centre,Kensington,Building Blocks Capacity Building Grant - New Early Learning Facility,Early childhood projects,144.9276659,-37.7941207
St Mary's Preschool,Brighton East,Building Blocks Inclusion Grant,Early childhood projects,145.0161353,-37.921977
St Mary's School (Altona),Altona,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.828786,-37.86666
St Mary's School (Ararat),Ararat,Non-Government Schools Capital Fund - 2022–23,Non-government grants,142.9399801,-37.2856794
St Mary's School (Dandenong),Dandenong,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.220947,-37.9905828
St Mary's School (Greensborough),Greensborough,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.09253,-37.70292999999999
St Mary's School (Hastings),Hastings,Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.1914873,-38.303923
St Mary's School (Inglewood),Inglewood,Non-Government Schools Capital Fund - 2020-21,Non-government grants,143.8723398,-36.5712934
St Mary's School (Rushworth),Rushworth,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.0113919,-36.5875137
St Matthew's School,Fawkner North,Non-Government Schools Capital Fund,Non-government grants,144.9683179,-37.6973038
St Mel's Kindergarten,Shepparton,Building Blocks Improvement Grant – Early Learning Facility Upgrade | Building Blocks Capacity Grant – Expansion,Early childhood projects,145.4105395,-36.393133
St Mel's School,Shepparton South,Non-Government Schools Capital Fund,Non-government grants,145.4098199,-36.3926739
St Michael's Primary School,North Melbourne,Non-Government Schools Capital Fund | Building Fund for Non-Government Schools - Catholic,Non-government grants,144.9462125,-37.7936209
